#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,생년월일,나이,투수,타격,키,몸무게,포지션,등번호,is_pit
123.000,안권수,롯데 자이언츠,59.000,209.000,182.000,46.000,2.000,31.000,19.000,19.000,26.000,12.000,0.28,0.253,0.322,0.324,0.646,0.305,0.08,1993-04-19,31,우투,좌타,175,80,외야수,0,0
124.000,정준영,KT 위즈,34.000,55.000,48.000,14.000,0.000,6.000,6.000,3.000,11.000,0.000,0.378,0.292,0.333,0.333,0.666,0.312,0.06,2004-01-26,20,좌투,좌타,173,73,외야수,58,0
125.000,홍성호,두산 베어스,21.000,51.000,48.000,14.000,0.000,6.000,5.000,2.000,14.000,0.000,0.412,0.292,0.333,0.375,0.708,0.328,0.06,1997-07-15,27,우투,좌타,187,98,외야수,44,0
126.000,최준우,SSG 랜더스,33.000,62.000,54.000,15.000,0.000,4.000,6.000,7.000,9.000,0.000,0.326,0.278,0.355,0.296,0.651,0.315,0.06,1999-03-25,25,우투,좌타,176,78,내야수,00,0
127.000,김정민,SSG 랜더스,6.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.0,1.0,1.0,1.0,2.0,0.915,0.05,2004-03-07,20,좌투,좌타,180,75,외야수,65,0
128.000,국해성,롯데 자이언츠,5.000,9.000,7.000,2.000,0.000,0.000,1.000,2.000,2.000,0.000,0.4,0.286,0.444,0.286,0.73,0.375,0.05,1989-10-08,35,우투,양타,180,94,외야수,12,0
129.000,박유연,두산 베어스,10.000,16.000,15.000,4.000,0.000,3.000,1.000,0.000,4.000,0.000,0.364,0.267,0.267,0.4,0.667,0.296,0.05,1998-12-20,26,우투,우타,177,77,포수,26,0
130.000,손성빈,롯데 자이언츠,28.000,41.000,39.000,10.000,0.000,8.000,7.000,1.000,6.000,0.000,0.303,0.256,0.275,0.333,0.608,0.278,0.05,2002-01-14,22,우투,우타,186,92,포수,28,0
131.000,임병욱,키움 히어로즈,70.000,184.000,173.000,44.000,5.000,25.000,29.000,7.000,61.000,4.000,0.358,0.254,0.284,0.393,0.677,0.302,0.05,1995-09-30,29,우투,좌타,185,84,내야수,46,0
132.000,문상인,KT 위즈,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,-,-,1.0,-,-,0.771,0.05,1998-01-31,26,우투,우타,185,79,포수,63,0
133.000,장두성,롯데 자이언츠,10.000,2.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.0,0.0,0.5,0.0,0.5,0.385,0.04,1999-09-16,25,우투,좌타,176,67,외야수,49,0
134.000,송민섭,KT 위즈,39.000,15.000,13.000,3.000,0.000,6.000,0.000,1.000,5.000,3.000,0.375,0.231,0.333,0.231,0.564,0.287,0.03,1991-08-02,33,우투,우타,177,80,좌익수,12,0
135.000,한준수,KIA 타이거즈,21.000,36.000,36.000,9.000,1.000,7.000,6.000,0.000,13.000,0.000,0.364,0.25,0.25,0.389,0.639,0.279,0.02,1999-02-13,25,우투,좌타,184,95,포수,44,0
136.000,이해승,삼성 라이온즈,9.000,4.000,4.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.333,0.25,0.25,0.5,0.75,0.327,0.02,2000-08-01,24,우투,우타,180,86,내야수,67,0
137.000,홍종표,KIA 타이거즈,30.000,11.000,6.000,0.000,0.000,7.000,0.000,3.000,1.000,0.000,0.0,0.0,0.4,0.0,0.4,0.311,0.02,2000-05-02,24,우투,좌타,178,72,내야수,0,0
138.000,이민준,한화 이글스,4.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.0,0.0,0.5,0.0,0.5,0.385,0.02,2004-02-02,20,우투,우타,185,74,내야수,95,0
139.000,김시앙,키움 히어로즈,10.000,10.000,10.000,3.000,0.000,0.000,1.000,0.000,2.000,0.000,0.375,0.3,0.3,0.3,0.6,0.275,0.01,2001-10-31,23,우투,우타,177,79,포수,26,0
140.000,문상철,KT 위즈,89.000,286.000,266.000,70.000,8.000,26.000,40.000,12.000,65.000,3.000,0.313,0.263,0.295,0.421,0.716,0.317,0.01,1991-04-06,33,우투,우타,184,85,3루수,7,0
141.000,안주형,삼성 라이온즈,33.000,44.000,38.000,10.000,0.000,6.000,3.000,4.000,11.000,0.000,0.357,0.263,0.326,0.289,0.615,0.294,0.01,1993-08-14,31,우투,좌타,176,68,내야수,64,0
142.000,허도환,LG 트윈스,26.000,44.000,35.000,5.000,1.000,5.000,5.000,2.000,9.000,0.000,0.16,0.143,0.268,0.286,0.554,0.271,0.01,1984-07-31,40,우투,우타,176,87,포수,30,0
143.000,천재환,NC 다이노스,69.000,164.000,149.000,37.000,2.000,12.000,16.000,8.000,41.000,2.000,0.327,0.248,0.302,0.342,0.644,0.3,0.0,1994-04-01,30,우투,우타,181,83,외야수,23,0
144.000,장운호,한화 이글스,4.000,11.000,9.000,2.000,0.000,1.000,1.000,2.000,2.000,0.000,0.286,0.222,0.364,0.222,0.586,0.307,0.0,1994-02-20,30,우투,우타,183,85,내야수,90,0
145.000,최보성,NC 다이노스,12.000,21.000,19.000,5.000,0.000,2.000,0.000,2.000,2.000,0.000,0.294,0.263,0.333,0.263,0.596,0.291,-0.01,1998-10-16,26,우투,우타,181,88,내야수,4,0
146.000,김주성,LG 트윈스,4.000,3.000,2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.0,0.0,0.333,0.0,0.333,0.265,-0.01,1998-01-30,26,우투,우타,180,81,내야수,62,0
147.000,이주형(38),LG 트윈스,18.000,16.000,15.000,4.000,0.000,2.000,2.000,0.000,5.000,0.000,0.4,0.267,0.313,0.4,0.713,0.328,-0.02,2001-04-02,23,우투,좌타,183,80,내야수,38,0
148.000,박민석,KT 위즈,4.000,4.000,4.000,1.000,0.000,1.000,0.000,0.000,3.000,0.000,1.0,0.25,0.25,0.25,0.5,0.229,-0.02,2000-04-13,24,우투,우타,180,77,내야수,56,0
149.000,변우혁,KIA 타이거즈,55.000,149.000,135.000,30.000,6.000,17.000,20.000,13.000,46.000,0.000,0.289,0.222,0.295,0.378,0.673,0.306,-0.02,2000-03-18,24,우투,우타,185,93,내야수,33,0
150.000,윤수녕,롯데 자이언츠,3.000,4.000,4.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.333,0.25,0.25,0.25,0.5,0.229,-0.03,2000-03-01,24,우투,좌타,173,73,외야수,63,0
151.000,노수광,한화 이글스,30.000,94.000,77.000,17.000,0.000,6.000,4.000,13.000,27.000,2.000,0.327,0.221,0.326,0.286,0.612,0.299,-0.03,1990-08-06,34,우투,좌타,180,75,외야수,17,0
152.000,서동욱,롯데 자이언츠,3.000,4.000,3.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.0,0.0,0.25,0.0,0.25,0.193,-0.03,2000-03-24,24,우투,우타,175,88,포수,69,0
153.000,김민수,삼성 라이온즈,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,-,0.0,0.0,0.0,0.0,0.0,-0.03,1991-03-02,33,우투,우타,177,80,포수,12,0
154.000,박지훈,두산 베어스,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,-,0.0,0.0,0.0,0.0,0.0,-0.03,2000-09-07,24,우투,우타,183,80,내야수,4,0
155.000,이상민(타),삼성 라이온즈,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,1990-11-04,34,좌투,좌타,180,85,투수,59,0
156.000,윤도현,KIA 타이거즈,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,-,0.0,0.0,0.0,0.0,0.0,-0.03,2003-05-07,21,우투,우타,181,84,내야수,67,0
157.000,전사민(타),NC 다이노스,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,1999-07-06,25,우투,우타,194,85,소속,계약,0
158.000,박형준,롯데 자이언츠,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,-,0.0,0.0,0.0,0.0,0.0,-0.03,2001-06-28,23,우투,우타,184,105,외야수,17,0
159.000,최승민,LG 트윈스,13.000,6.000,5.000,1.000,0.000,4.000,1.000,1.000,2.000,3.000,0.333,0.2,0.333,0.2,0.533,0.281,-0.04,1996-07-01,28,우투,좌타,181,73,외야수,62,0
160.000,강민성,KT 위즈,12.000,27.000,22.000,4.000,0.000,2.000,0.000,4.000,10.000,0.000,0.333,0.182,0.308,0.227,0.535,0.275,-0.04,1999-12-08,25,우투,우타,182,89,내야수,5,0
161.000,이태훈,삼성 라이온즈,11.000,14.000,13.000,3.000,0.000,1.000,0.000,1.000,7.000,0.000,0.5,0.231,0.286,0.308,0.594,0.279,-0.05,1995-04-03,29,우투,우타,183,95,외야수,35,0
162.000,김재현,키움 히어로즈,4.000,6.000,5.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,0.5,0.2,0.2,0.2,0.4,0.183,-0.05,1993-03-18,31,우투,우타,178,80,포수,32,0
163.000,문상준,KT 위즈,2.000,5.000,5.000,1.000,0.000,1.000,0.000,0.000,4.000,0.000,1.0,0.2,0.2,0.2,0.4,0.183,-0.05,2001-03-14,23,우투,우타,183,80,내야수,0,0
164.000,권광민,한화 이글스,39.000,53.000,46.000,8.000,2.000,8.000,9.000,5.000,16.000,2.000,0.214,0.174,0.269,0.348,0.617,0.287,-0.05,1997-12-12,27,좌투,좌타,187,97,외야수,69,0
165.000,최항,SSG 랜더스,9.000,14.000,12.000,2.000,1.000,2.000,3.000,1.000,6.000,0.000,0.2,0.167,0.231,0.417,0.648,0.279,-0.05,1994-01-03,30,우투,좌타,183,88,내야수,00,0
166.000,권민석,두산 베어스,1.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1999-02-20,25,우투,우타,184,74,내야수,7,0
167.000,허관회,한화 이글스,1.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1999-02-12,25,우투,우타,176,83,포수,12,0
168.000,예진원,키움 히어로즈,9.000,20.000,18.000,5.000,0.000,0.000,3.000,0.000,4.000,0.000,0.357,0.278,0.278,0.333,0.611,0.276,-0.06,1999-03-16,25,좌투,좌타,174,85,외야수,30,0
169.000,박계범,두산 베어스,56.000,154.000,136.000,31.000,2.000,15.000,14.000,10.000,34.000,2.000,0.282,0.228,0.285,0.316,0.601,0.279,-0.06,1996-01-11,28,우투,우타,178,72,내야수,14,0
170.000,이명기,한화 이글스,3.000,11.000,10.000,2.000,0.000,1.000,2.000,1.000,3.000,1.000,0.286,0.2,0.273,0.2,0.473,0.236,-0.06,1987-12-26,37,좌투,좌타,183,80,외야수,14,0
171.000,박영빈,NC 다이노스,14.000,8.000,7.000,1.000,0.000,5.000,0.000,0.000,3.000,2.000,0.25,0.143,0.143,0.286,0.429,0.187,-0.06,1997-07-16,27,우투,우타,0,0,내야수,00,0
172.000,송재선,키움 히어로즈,1.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,2000-06-30,24,우투,우타,177,73,외야수,63,0
173.000,송준석,삼성 라이온즈,7.000,8.000,8.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.25,0.25,0.25,0.25,0.5,0.229,-0.07,1994-05-04,30,좌투,좌타,176,78,외야수,64,0
174.000,김건희,키움 히어로즈,8.000,13.000,11.000,2.000,0.000,0.000,0.000,2.000,4.000,0.000,0.286,0.182,0.308,0.182,0.49,0.259,-0.07,2004-11-07,20,우투,우타,185,96,투수,12,0
175.000,오장한,NC 다이노스,3.000,8.000,7.000,1.000,0.000,2.000,0.000,1.000,5.000,0.000,0.5,0.143,0.25,0.143,0.393,0.211,-0.07,2002-05-20,22,우투,좌타,185,90,외야수,91,0
176.000,양찬열,두산 베어스,42.000,98.000,87.000,21.000,0.000,15.000,6.000,9.000,22.000,3.000,0.318,0.241,0.316,0.31,0.626,0.302,-0.08,1997-05-25,27,우투,좌타,179,84,외야수,93,0
177.000,장준원,KT 위즈,50.000,83.000,70.000,12.000,1.000,8.000,8.000,10.000,20.000,3.000,0.22,0.171,0.272,0.271,0.543,0.264,-0.08,1995-11-21,29,우투,우타,183,77,내야수,25,0
178.000,송대현,LG 트윈스,4.000,3.000,3.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2000-02-03,24,우투,우타,180,82,내야수,63,0
179.000,김병휘,키움 히어로즈,3.000,3.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,2001-02-16,23,우투,우타,177,79,내야수,4,0
180.000,조민성,삼성 라이온즈,11.000,21.000,21.000,6.000,0.000,1.000,5.000,0.000,4.000,0.000,0.353,0.286,0.286,0.381,0.667,0.299,-0.09,2003-10-02,21,우투,우타,181,88,내야수,32,0
181.000,김선우,KIA 타이거즈,5.000,7.000,7.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.2,0.143,0.143,0.143,0.286,0.131,-0.09,2001-01-18,23,우투,우타,178,80,포수,42,0
182.000,안승한,두산 베어스,10.000,10.000,9.000,1.000,0.000,1.000,0.000,1.000,4.000,0.000,0.2,0.111,0.2,0.111,0.311,0.169,-0.09,1992-01-25,32,우투,우타,177,89,포수,20,0
183.000,손민석,KT 위즈,9.000,12.000,10.000,1.000,0.000,2.000,1.000,1.000,3.000,0.000,0.143,0.1,0.25,0.1,0.35,0.207,-0.09,2004-06-21,20,우투,좌타,177,70,내야수,57,0
184.000,장지승,한화 이글스,3.000,3.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,1998-07-04,26,우투,우타,185,90,외야수,63,0
185.000,유상빈,한화 이글스,3.000,8.000,6.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.0,0.0,0.25,0.0,0.25,0.196,-0.09,2000-05-09,24,좌투,좌타,181,82,외야수,65,0
186.000,김건웅,SSG 랜더스,1.000,3.000,3.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,2000-05-08,24,우투,우타,186,118,내야수,44,0
187.000,서예일,두산 베어스,5.000,10.000,9.000,2.000,0.000,2.000,1.000,0.000,2.000,0.000,0.25,0.222,0.2,0.222,0.422,0.183,-0.1,1993-06-19,31,우투,좌타,178,83,내야수,16,0
188.000,이원석,한화 이글스,56.000,121.000,101.000,18.000,0.000,15.000,8.000,19.000,27.000,9.000,0.243,0.178,0.314,0.208,0.522,0.274,-0.1,1999-03-31,25,우투,우타,177,70,외야수,68,0
189.000,손호영,LG 트윈스,16.000,27.000,26.000,5.000,1.000,6.000,6.000,1.000,7.000,1.000,0.222,0.192,0.222,0.308,0.53,0.236,-0.11,1994-08-23,30,우투,우타,182,88,내야수,50,0
190.000,김찬형,SSG 랜더스,14.000,19.000,17.000,3.000,0.000,2.000,0.000,1.000,3.000,0.000,0.214,0.176,0.263,0.176,0.439,0.227,-0.11,1997-12-29,27,우투,우타,182,80,내야수,00,0
191.000,최인호,한화 이글스,3.000,7.000,6.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.2,0.167,0.167,0.167,0.334,0.153,-0.11,2000-01-30,24,우투,좌타,178,82,외야수,107,0
192.000,김범석,LG 트윈스,2.000,6.000,4.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.0,0.0,0.167,0.0,0.167,0.128,-0.11,2004-05-21,20,우투,우타,178,95,포수,44,0
193.000,김호재,삼성 라이온즈,47.000,71.000,67.000,16.000,0.000,5.000,6.000,3.000,9.000,2.000,0.276,0.239,0.271,0.313,0.584,0.27,-0.12,1995-05-31,29,우투,우타,178,72,내야수,8,0
194.000,고명준,SSG 랜더스,2.000,4.000,4.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,2002-07-08,22,우투,우타,185,94,내야수,68,0
195.000,김수윤,NC 다이노스,11.000,11.000,11.000,2.000,0.000,0.000,2.000,0.000,4.000,0.000,0.286,0.182,0.182,0.182,0.364,0.166,-0.13,1998-07-16,26,우투,우타,180,83,내야수,5,0
196.000,김기연,LG 트윈스,21.000,31.000,25.000,3.000,0.000,1.000,2.000,5.000,5.000,1.000,0.15,0.12,0.267,0.12,0.387,0.22,-0.13,1997-09-07,27,우투,우타,178,95,포수,40,0
197.000,이승원,키움 히어로즈,4.000,5.000,5.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,2004-07-02,20,우투,우타,185,75,내야수,8,0
198.000,이재원,LG 트윈스,46.000,107.000,92.000,20.000,3.000,12.000,17.000,10.000,32.000,3.000,0.283,0.217,0.299,0.359,0.658,0.293,-0.14,1999-07-17,25,우투,우타,192,100,외야수,24,0
199.000,박석민,NC 다이노스,30.000,107.000,88.000,17.000,1.000,9.000,8.000,14.000,22.000,0.000,0.242,0.193,0.321,0.239,0.56,0.285,-0.14,1985-06-22,39,우투,우타,178,88,3루수,18,0
200.000,김규성,KIA 타이거즈,69.000,106.000,96.000,21.000,1.000,18.000,8.000,7.000,32.000,4.000,0.317,0.219,0.279,0.302,0.581,0.274,-0.15,1997-03-08,27,우투,좌타,183,73,내야수,14,0
201.000,강현우,KT 위즈,36.000,77.000,74.000,16.000,1.000,9.000,8.000,3.000,15.000,0.000,0.259,0.216,0.247,0.324,0.571,0.259,-0.15,2001-04-13,23,우투,우타,180,90,포수,66,0
202.000,공민규,삼성 라이온즈,22.000,33.000,31.000,6.000,0.000,0.000,2.000,2.000,13.000,0.000,0.333,0.194,0.242,0.29,0.532,0.252,-0.15,1999-09-27,25,우투,좌타,183,85,내야수,62,0
203.000,오태양,NC 다이노스,21.000,3.000,3.000,0.000,0.000,4.000,0.000,0.000,3.000,3.000,-,0.0,0.0,0.0,0.0,0.0,-0.15,2002-04-25,22,우투,우타,178,67,내야수,96,0
204.000,이병규,키움 히어로즈,7.000,17.000,17.000,4.000,0.000,3.000,2.000,0.000,4.000,0.000,0.308,0.235,0.235,0.235,0.47,0.215,-0.16,1994-10-05,30,우투,좌타,175,73,외야수,9,0
205.000,고승민,롯데 자이언츠,82.000,287.000,239.000,53.000,2.000,34.000,22.000,38.000,60.000,8.000,0.283,0.222,0.327,0.314,0.641,0.305,-0.16,2000-08-11,24,우투,좌타,187,88,내야수,57,0
206.000,지시완,롯데 자이언츠,6.000,10.000,8.000,1.000,0.000,0.000,0.000,0.000,5.000,0.000,0.333,0.125,0.125,0.125,0.25,0.114,-0.16,1994-04-10,30,우투,우타,180,92,포수,28,0
207.000,김태근,두산 베어스,16.000,25.000,23.000,6.000,0.000,3.000,2.000,0.000,11.000,0.000,0.5,0.261,0.261,0.348,0.609,0.273,-0.17,1996-08-10,28,우투,우타,175,74,외야수,44,0
208.000,정주현,LG 트윈스,58.000,61.000,51.000,13.000,1.000,10.000,11.000,6.000,10.000,1.000,0.293,0.255,0.328,0.314,0.642,0.303,-0.17,1990-10-13,34,우투,우타,176,76,내야수,10,0
209.000,전민재,두산 베어스,19.000,18.000,17.000,4.000,0.000,3.000,1.000,0.000,3.000,0.000,0.286,0.235,0.235,0.353,0.588,0.262,-0.17,1999-06-30,25,우투,우타,181,73,내야수,4,0
210.000,서건창,LG 트윈스,31.000,103.000,87.000,18.000,0.000,14.000,12.000,10.000,11.000,3.000,0.228,0.207,0.28,0.31,0.59,0.28,-0.17,1989-08-22,35,우투,좌타,176,80,내야수,14,0
211.000,전병우,키움 히어로즈,25.000,60.000,51.000,9.000,1.000,5.000,6.000,7.000,22.000,0.000,0.286,0.176,0.288,0.294,0.582,0.282,-0.18,1992-10-24,32,우투,우타,182,90,내야수,62,0
212.000,신성현,두산 베어스,12.000,15.000,12.000,1.000,0.000,1.000,1.000,3.000,4.000,0.000,0.125,0.083,0.267,0.083,0.35,0.215,-0.18,1990-10-19,34,우투,우타,183,85,내야수,12,0
213.000,김병희,KT 위즈,5.000,9.000,8.000,0.000,0.000,0.000,0.000,1.000,4.000,0.000,0.0,0.0,0.111,0.0,0.111,0.086,-0.18,1990-12-06,34,우투,우타,180,82,2루수,14,0
214.000,이학주,롯데 자이언츠,71.000,71.000,65.000,13.000,1.000,14.000,7.000,6.000,15.000,0.000,0.245,0.2,0.268,0.262,0.53,0.253,-0.19,1990-11-04,34,우투,좌타,187,87,내야수,6,0
215.000,최정용,KIA 타이거즈,24.000,29.000,25.000,4.000,0.000,5.000,1.000,2.000,7.000,2.000,0.222,0.16,0.222,0.2,0.422,0.207,-0.19,1996-10-24,28,우투,좌타,179,86,내야수,41,0
216.000,김건,한화 이글스,5.000,12.000,12.000,2.000,0.000,1.000,0.000,0.000,8.000,0.000,0.5,0.167,0.167,0.167,0.334,0.153,-0.2,2000-02-23,24,우투,우타,183,82,내야수,97,0
217.000,박준태,키움 히어로즈,14.000,15.000,14.000,2.000,0.000,0.000,1.000,1.000,7.000,0.000,0.286,0.143,0.2,0.143,0.343,0.173,-0.2,1991-07-26,33,우투,좌타,181,75,외야수,23,0
218.000,최상민,SSG 랜더스,35.000,38.000,33.000,8.000,0.000,4.000,3.000,2.000,6.000,1.000,0.286,0.242,0.278,0.242,0.52,0.246,-0.21,1999-08-20,25,좌투,좌타,178,75,외야수,8,0
219.000,이병헌,삼성 라이온즈,15.000,21.000,20.000,3.000,0.000,1.000,1.000,1.000,9.000,0.000,0.273,0.15,0.19,0.15,0.34,0.167,-0.21,1999-10-26,25,우투,우타,180,87,포수,23,0
220.000,김재상,삼성 라이온즈,15.000,19.000,17.000,2.000,0.000,0.000,0.000,2.000,4.000,0.000,0.154,0.118,0.211,0.118,0.329,0.177,-0.21,2004-07-26,20,우투,좌타,180,81,내야수,0,0
221.000,김인태,두산 베어스,20.000,61.000,54.000,12.000,0.000,3.000,5.000,6.000,15.000,1.000,0.308,0.222,0.3,0.259,0.559,0.273,-0.22,1994-07-03,30,좌투,좌타,178,78,외야수,39,0
222.000,김상민,삼성 라이온즈,7.000,13.000,12.000,1.000,0.000,3.000,0.000,1.000,3.000,0.000,0.111,0.083,0.154,0.083,0.237,0.13,-0.22,2003-12-05,21,우투,좌타,183,83,외야수,25,0
223.000,강진성,두산 베어스,3.000,3.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0.333,0.333,0.666,0.305,-0.23,1993-10-19,31,우투,우타,180,81,외야수,49,0
224.000,김한별,NC 다이노스,49.000,53.000,51.000,12.000,0.000,3.000,3.000,1.000,12.000,0.000,0.308,0.235,0.25,0.275,0.525,0.243,-0.23,2001-01-18,23,우투,우타,177,85,내야수,68,0
225.000,장승현,두산 베어스,63.000,139.000,122.000,22.000,3.000,11.000,9.000,6.000,29.000,1.000,0.211,0.18,0.259,0.262,0.521,0.25,-0.23,1994-03-07,30,우투,우타,184,86,포수,2,0
226.000,신범수,KIA 타이거즈,36.000,100.000,88.000,15.000,2.000,7.000,10.000,7.000,19.000,0.000,0.191,0.17,0.245,0.273,0.518,0.244,-0.23,1998-01-25,26,우투,좌타,177,0,포수,62,0
227.000,송찬의,LG 트윈스,19.000,22.000,18.000,1.000,0.000,2.000,1.000,4.000,6.000,1.000,0.083,0.056,0.227,0.111,0.338,0.2,-0.23,1999-02-20,25,우투,우타,182,77,내야수,66,0
228.000,이성곤,한화 이글스,8.000,16.000,14.000,2.000,0.000,2.000,0.000,1.000,3.000,0.000,0.182,0.143,0.2,0.143,0.343,0.173,-0.24,1992-03-25,32,우투,좌타,186,93,내야수,6,0
229.000,최정원,NC 다이노스,16.000,18.000,16.000,1.000,0.000,4.000,1.000,0.000,7.000,1.000,0.111,0.063,0.167,0.125,0.292,0.161,-0.25,2000-06-24,24,우투,좌타,176,70,내야수,64,0
230.000,조형우,SSG 랜더스,46.000,92.000,83.000,15.000,1.000,7.000,5.000,5.000,18.000,0.000,0.219,0.181,0.236,0.277,0.513,0.241,-0.26,2002-04-04,22,우투,우타,187,95,포수,32,0
231.000,신준우,키움 히어로즈,24.000,19.000,18.000,2.000,0.000,4.000,0.000,0.000,5.000,0.000,0.154,0.111,0.158,0.111,0.269,0.138,-0.26,2001-06-21,23,우투,우타,176,83,내야수,5,0
232.000,안재석,두산 베어스,27.000,68.000,64.000,12.000,1.000,8.000,5.000,3.000,12.000,2.000,0.212,0.188,0.221,0.297,0.518,0.236,-0.27,2002-02-15,22,우투,좌타,185,75,내야수,3,0
233.000,김수환,키움 히어로즈,38.000,73.000,60.000,9.000,1.000,3.000,10.000,8.000,23.000,0.000,0.222,0.15,0.292,0.25,0.542,0.275,-0.28,1998-03-20,26,우투,우타,180,100,내야수,46,0
234.000,김민혁,두산 베어스,20.000,35.000,28.000,4.000,0.000,2.000,3.000,4.000,9.000,0.000,0.19,0.143,0.257,0.179,0.436,0.227,-0.28,1996-05-03,28,우투,우타,188,100,내야수,92,0
235.000,류승민,삼성 라이온즈,23.000,56.000,51.000,11.000,0.000,5.000,5.000,2.000,19.000,0.000,0.344,0.216,0.259,0.275,0.534,0.252,-0.3,2004-10-11,20,좌투,좌타,185,90,외야수,46,0
236.000,조용호,KT 위즈,36.000,105.000,97.000,24.000,0.000,10.000,4.000,8.000,20.000,2.000,0.312,0.247,0.305,0.258,0.563,0.272,-0.31,1989-09-09,35,우투,좌타,170,75,외야수,23,0
237.000,최경모,SSG 랜더스,21.000,19.000,19.000,2.000,0.000,5.000,1.000,0.000,5.000,2.000,0.143,0.105,0.105,0.105,0.21,0.096,-0.31,1996-06-17,28,우투,우타,0,0,내야수,00,0
238.000,김석환,KIA 타이거즈,4.000,16.000,14.000,1.000,0.000,1.000,2.000,1.000,7.000,0.000,0.143,0.071,0.133,0.071,0.204,0.112,-0.31,1999-02-28,25,좌투,좌타,187,97,내야수,10,0
239.000,한석현,NC 다이노스,25.000,61.000,55.000,12.000,0.000,5.000,2.000,4.000,17.000,2.000,0.316,0.218,0.271,0.236,0.507,0.245,-0.32,1994-05-17,30,좌투,좌타,181,73,외야수,46,0
240.000,오태곤,SSG 랜더스,88.000,201.000,177.000,38.000,4.000,20.000,19.000,13.000,49.000,14.000,0.268,0.215,0.276,0.328,0.604,0.278,-0.32,1991-11-18,33,우투,우타,184,80,내야수,00,0
241.000,조수행,두산 베어스,87.000,133.000,115.000,22.000,1.000,23.000,7.000,14.000,29.000,16.000,0.247,0.191,0.29,0.243,0.533,0.266,-0.32,1993-08-30,31,우투,좌타,178,73,외야수,51,0
242.000,송승환,두산 베어스,30.000,76.000,70.000,16.000,0.000,10.000,4.000,4.000,16.000,0.000,0.296,0.229,0.27,0.3,0.57,0.268,-0.33,2000-10-28,24,우투,우타,183,93,내야수,3,0
243.000,전의산,SSG 랜더스,41.000,118.000,104.000,21.000,3.000,8.000,16.000,11.000,31.000,0.000,0.257,0.202,0.297,0.327,0.624,0.294,-0.33,2000-11-25,24,우투,좌타,188,98,내야수,56,0
244.000,이정범,SSG 랜더스,11.000,30.000,26.000,5.000,0.000,2.000,4.000,2.000,6.000,0.000,0.227,0.192,0.233,0.192,0.425,0.204,-0.33,1998-04-10,26,좌투,좌타,178,88,외야수,58,0
245.000,류현인,KT 위즈,17.000,24.000,23.000,3.000,0.000,6.000,3.000,1.000,4.000,0.000,0.158,0.13,0.167,0.13,0.297,0.147,-0.33,2000-11-08,24,우투,좌타,174,80,내야수,36,0
